Index,DN_inch,DN_mm,150,300,400,600,900,1500,2500,4500
1000,0.50,12.7,0.10,0.11,0.11,0.12,0.14,0.19,0.30,0.39
1001,0.75,19.05,0.11,0.11,0.11,0.13,0.16,0.21,0.33,0.47
1002,1.00,25.4,0.12,0.12,0.12,0.15,0.19,0.26,0.40,0.57
1003,1.50,38.1,0.14,0.14,0.14,0.19,0.26,0.37,0.57,0.82
1004,2.00,50.8,0.16,0.16,0.16,0.23,0.32,0.47,0.73,1.05
1005,2.50,63.5,0.18,0.19,0.19,0.27,0.39,0.57,0.89,1.29
1006,3.00,76.2,0.20,0.21,0.21,0.31,0.45,0.67,1.03,1.51
1007,4.00,101.6,0.23,0.25,0.26,0.38,0.56,0.83,1.28,1.88
1008,6.00,152.4,0.29,0.32,0.33,0.50,0.75,1.12,1.74,2.55
1009,8.00,203.2,0.33,0.37,0.38,0.58,0.88,1.32,2.05,3.00
1010,10.00,254,0.35,0.40,0.41,0.64,0.98,1.48,2.29,3.35
